Organisation unit name,MFL- County Name,MFL- Facility Code,MFL- Facility Name,MFL- Facility Ownership,MFL- Facility Type,MFL-Coordinates,MFL-District Code,MFL-Facility Operating Status,MFL-Funding Source,MFL-Location,MFL-Region,MFL-Reporting Status
Somalia Drive District,Montserrado,LBR-30-3014-79,Rapha Medical Clinic,Private,Clinic,"[-10.738530,6.358210]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-82,Samaritan Mission Medical Center,Private,Health Center,"[-10.716420,6.315040]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-80,RH Ferguson Health Center,Public,Health Center,"[-10.740000,6.336670]",3014,Active,GOL,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-81,Safe Zone Community Clinic,Private,Clinic,"[-10.755060,6.341080]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-85,Sawee Medical Clinic,Private,Clinic,"[-10.760350,6.352420]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-86,Sister Agnes Health Center,Private,Health Center,"[-10.746610,6.336030]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-87,Sister Barbara Ann Health Center,Private,Health Center,"[-10.735480,6.326300]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-88,Stamar Karmo Clinic,Private,Clinic,"[-10.733370,6.346060]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-89,Stanko Maternity Clinic,Private,Clinic,"[-10.723310,6.331180]",3014,Active,Private,Urband,South Central Region,Reporting
Somalia Drive District,Montserrado,LBR-30-3014-94,Jamaica Rd Clinic,Public,Clinic,,3014,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-02,Bromely Community Health Center,Public,Health Center,"[-10.766670,6.416670]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-04,Amusawyer Clinic,Private,Clinic,"[-10.788000,6.433500]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-03,AF Russell Clinic,Public,Clinic,"[-10.766670,6.410000]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-01,Island Hospital,Public,Hospital,"[-10.786500,6.385340]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-07,Arthington Clinic,Public,Clinic,"[-10.676670,6.511940]",3006,Active,GOL,Rural,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-08,Banjor Comm Clinic,Public,Clinic,"[-10.795000,6.407220]",3006,Active,GOL,Rural,North Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-13,Esther & Robertson Clinic,Private,Clinic,"[-10.802010,6.453760]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-09,Blamacee Clinic,Public,Clinic,"[-10.814975,6.438143]",3006,Active,GOL,Rural,Southeastern B Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-11,City Medical Clinic,Private,Clinic,"[-10.795510,6.410740]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-14,Faith Health Center,Private,Health Center,"[-10.788790,6.403280]",3006,Active,Private,Urband,North Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-15,Gbondoi Clinic,Private,Clinic,"[-10.788750,6.513720]",3006,Active,Private,Urband,North Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-20,Iron Gate Medical & Laboratory Clinic,Private,Clinic,"[-10.784066,6.415699]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-17,Glory of Christ Community Clinic,Private,Clinic,"[-10.810637,6.430122]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-19,Imani House Clinic,Private,Clinic,"[-10.788170,6.439040]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-22,ACRES Community Clinic,Private,Clinic,"[-10.669040,6.483510]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-26,Mairiama Z. Brown Clinic,Private,Clinic,"[-10.799450,6.435580]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-30,New Community Clinic,Private,Clinic,"[-10.785600,6.398390]",3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-23,Kpalla Clinic,Public,Clinic,"[-10.812960,6.428120]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-25,Lott Carey Mission School Clinic,Faith Based,Clinic,,3006,Active,Donor,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-32,RC Marshall Clinic,Public,Clinic,"[-10.766600,6.420000]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-31,Orange Village (Mama Tormah) Clinic,Public,Clinic,"[-10.797028,6.445615]",3006,Active,GOL,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-35,Ricks Clinic,Private,Clinic,,3006,Active,Private,Urband,South Central Region,Reporting
St Paul River District,Montserrado,LBR-30-3006-38,Tenegar Community Clinic,Public,Clinic,"[-10.751960,6.514370]",3006,Active,GOL,Urband,South Central Region,Reporting
Suakoko,Bong,LBR-06-0614-01,Phebe Hospital,Faith Based,Hospital,"[-9.553360,7.027490]",0614,Active,Donor,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-02,Agape Clinic,Faith Based,Clinic,"[-9.551390,7.045200]",0614,Active,Donor,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-03,D.C. Mark Clinic,Public,Clinic,"[-9.649227,6.827243]",0614,Active,GOL,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-04,Fenutoli Clinic,Public,Clinic,"[-9.691190,6.679030]",0614,Active,GOL,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-05,Gbarnla Clinic,Public,Clinic,"[-9.752330,7.006460]",0614,Active,GOL,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-06,Gbartala Clinic,Public,Clinic,"[-9.673500,6.890380]",0614,Active,GOL,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-07,Nyarta Clinic,Public,Clinic,"[-9.559071,6.842020]",0614,Active,GOL,Rural,North Central Region,Reporting
Suakoko,Bong,LBR-06-0614-08,Zeanzue Clinic,Public,Clinic,"[-9.760550,6.881530]",0614,Active,GOL,Rural,North Central Region,Reporting
Suehn Mecca,Bomi,LBR-03-304-05,Weawolo Clinic,Public,Clinic,"[-10.773820,6.623870]",304,Active,GOL,Rural,Northwestern Region,Reporting
Suehn Mecca,Bomi,LBR-03-304-02,Mecca Clinic,Public,Clinic,"[-10.570000,6.831370]",304,Active,GOL,Rural,Northwestern Region,Reporting
Suehn Mecca,Bomi,LBR-03-304-01,Fefeh Town Clinic,Public,Clinic,"[-10.741000,6.651810]",304,Active,GOL,Rural,Northwestern Region,Reporting
Suehn Mecca,Bomi,LBR-03-304-03,Mulbah Town Clinic,Public,Clinic,"[-10.616648,6.754325]",304,Active,GOL,Rural,Northwestern Region,Reporting
Suehn Mecca,Bomi,LBR-03-304-04,Suehn Clinic,Public,Clinic,"[-10.702100,6.626860]",304,Active,GOL,Rural,Northwestern Region,Reporting
Tappita District,Nimba,LBR-33-3314-04,Glahn's Town,Public,Clinic,"[-8.934263,6.263950]",3314,Active,GOL,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-03,Diallah Clinic,Public,Clinic,"[-8.698630,6.476830]",3314,Active,GOL,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-05,Mid Baptist Clinic,Faith Based,Clinic,"[-8.869060,6.495080]",3314,Active,Donor,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-06,Zodru Clinic,Public,Clinic,"[-8.571160,6.569970]",3314,Active,GOL,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-02,Consolata Clinic,Faith Based,Clinic,"[-8.863650,6.487990]",3314,Active,Donor,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-01,Jackson F. Doe Memorial Hospital,Public,Hospital,"[-8.861280,6.490870]",3314,Active,GOL,Rural,North Central Region,Reporting
Tappita District,Nimba,LBR-33-3314-07,Tiah Town clinic,Public,Clinic,"[-9.128611,6.369444]",3314,Active,GOL,Rural,North Central Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-03,Jacksonville Clinic,Public,Clinic,"[-9.085800,5.412460]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-02,Elizabeth Nyanti Institute Clinic,Public,Clinic,"[-8.931690,5.436260]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-01,Gbason Town Clinic,Public,Clinic,"[-8.902658,5.318911]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-04,Juahzon Clinic,Public,Clinic,"[-8.849860,5.379710]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-06,Wiah Town Clinic,Public,Clinic,"[-9.001610,5.294140]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarjuwon District,Sinoe,LBR-39-3907-05,Roselyn Toe Massaquoi Clinic,Public,Clinic,"[-8.849860,5.379710]",3907,Active,GOL,Rural,Southeastern A Region,Reporting
Tarsue District,Sinoe,LBR-39-3909-01,B O P Clinc,Public,Clinic,"[-9.171500,5.254960]",3909,Active,GOL,Rural,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-01,Martha Tubman Memorial Hospital,Public,Hospital,"[-8.124610,6.077760]",1508,Active,GOL,Urband,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-05,Gorbowrogba Clinic,Public,Clinic,"[-8.348250,5.754470]",1508,Active,GOL,Rural,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-04,Galapo Clinic,Private,Clinic,"[-8.129768,6.066202]",1508,Active,Private,Urband,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-07,Kannah  Clinic (PTP Refugee Clinic),Public,Clinic,"[-8.058803,6.025679]",1508,Active,GOL,Rural,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-03,Christ the King Clinic,Faith Based,Clinic,"[-8.137210,6.063360]",1508,Active,Donor,Urband,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-08,Kumah Town Clinic,Public,Clinic,"[-8.243710,5.936910]",1508,Active,GOL,Rural,Southeastern A Region,Reporting
Tchien District,Grand Gedeh,LBR-15-1508-09,Toffoi Town Clinic,Public,Clinic,"[-8.068330,5.953060]",1508,Active,GOL,Rural,Southeastern A Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-01,Richard and Hellen Devos Health Center,Faith Based,Health Center,"[-11.374275,7.015185]",1210,Active,Private,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-02,WAHO  Health Center,Public,Health Center,"[-11.372910,7.011110]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-04,Fahnja Community Clinic,Public,Clinic,"[-11.262770,7.017510]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-07,Jene-Wonde Clinic,Public,Clinic,"[-11.270280,7.080210]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-08,Kulangor Community Clinic,Public,Clinic,"[-11.388210,6.922040]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-11,Bangorma Community Clinic,Public,Clinic,"[-11.210280,7.083330]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-09,Mambo Clinic,Public,Clinic,"[-11.295940,6.998700]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-10,Tienni Clinic,Public,Clinic,"[-11.311870,6.968660]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-06,Gonelor Community Clinic,Public,Clinic,"[-11.257830,7.039230]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-05,Gondama Clinic,Public,Clinic,"[-11.355880,7.058650]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-12,Diah Community Clinic,Public,Clinic,"[-11.349290,6.877140]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tewor District,Grand Cape Mount,LBR-12-1210-03,Tahn-Mafa Community Clinic,Public,Clinic,"[-11.224520,6.982440]",1210,Active,GOL,Rural,Northwestern Region,Reporting
Tienpo District,RiverGee,LBR-42-4205-01,Cheboken Clinic,Public,Clinic,"[-8.076850,5.265010]",4205,Active,GOL,Rural,Southeastern B Region,Reporting
Tienpo District,RiverGee,LBR-42-4205-02,Dartoken Clinic,Public,Clinic,"[-8.146383,5.185728]",4205,Active,GOL,Rural,Southeastern B Region,Reporting
Tienpo District,RiverGee,LBR-42-4205-03,Gmomaken Clinic,Public,Clinic,"[-8.110720,5.181938]",4205,Active,GOL,Rural,Southeastern B Region,Reporting
Todee District,Montserrado,LBR-30-3008-07,Yarkpa Town Clinic,Public,Clinic,"[-10.440730,6.478110]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-03,Goba Clinic,Public,Clinic,"[-10.441480,6.487560]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-02,Nyehn Health Center,Public,Health Center,"[-10.489330,6.547060]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-08,Yeagbah Town Clinic,Public,Clinic,"[-10.597257,6.660152]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-09,Zannah Town Clinic,Public,Clinic,"[-10.412220,6.714240]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-04,Koon Town Clinic,Public,Clinic,"[-10.540280,6.604170]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-05,Ma - Norwah Clinic,Private,Clinic,"[-10.374600,6.529310]",3008,Active,Private,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-01,Bracket Christain Health Center,Faith Based,Health Center,"[-10.447110,6.503530]",3008,Active,Donor,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-06,Pleemu Clinic,Public,Clinic,"[-10.432820,6.590370]",3008,Active,GOL,Rural,South Central Region,Reporting
Todee District,Montserrado,LBR-30-3008-10,Zingbor Town,Public,Clinic,"[-10.535970,6.540490]",3008,Active,GOL,Rural,South Central Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-01,Behwan Health Center,Public,Health Center,"[-7.869860,4.638290]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-02,Elizabeth Garwo Clinic,Private,Clinic,"[-7.877777,4.484627]",1834,Active,Private,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-03,Garraway Clinic,Public,Clinic,"[-7.933580,4.498710]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-04,Gblebo Clinic,Public,Clinic,"[-7.955730,4.732640]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-05,Genoyah Clinic,Public,Clinic,"[-7.924170,4.588910]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-07,Newaken  Clinic,Public,Clinic,"[-7.932760,4.692540]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-08,Nifa Clinic,Public,Clinic,"[-8.004763,4.528941]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-09,Wilsonville Clinic,Public,Clinic,"[-7.879930,4.481440]",1834,Active,GOL,Rural,Southeastern B Region,Reporting
Trehn District,Grand Kru,LBR-18-1834-06,GVL Clinic,Concession,Clinic,"[-7.879930,4.481440]",1834,Active,Donor,Rural,Southeastern B Region,Reporting
Twah River District,Nimba,LBR-33-3310-01,Beo-Yoolar Clinic,Public,Clinic,"[-8.321370,7.048150]",3310,Active,GOL,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-03,Garplay Clinic,Faith Based,Clinic,"[-8.463380,7.122520]",3310,Active,Donor,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-04,Gbeivonwea Clinic,Public,Clinic,"[-8.416800,7.081620]",3310,Active,GOL,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-05,Kpairplay Clinic,Public,Clinic,"[-8.551695,7.201077]",3310,Active,GOL,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-06,Slangonplay Clinic,Public,Clinic,"[-8.466364,7.215153]",3310,Active,GOL,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-07,Vayenglay Clinic,Public,Clinic,"[-8.562080,7.144460]",3310,Active,GOL,Rural,North Central Region,Reporting
Twah River District,Nimba,LBR-33-3310-02,Berh Lombaye Memorial clinic,Private,Clinic,"[-8.441690,7.171930]",3310,Active,Private,Rural,North Central Region,Reporting
Vahun District,Lofa,LBR-21-2108-02,Kaintahun Clinic,Public,Clinic,"[-10.214050,8.164160]",2108,Active,GOL,Rural,North Central Region,Reporting
Vahun District,Lofa,LBR-21-2108-05,Popalahun Clinic,Public,Clinic,"[-10.234010,8.175770]",2108,Active,GOL,Rural,North Central Region,Reporting
Vahun District,Lofa,LBR-21-2108-03,Kamatahun Clinic,Public,Clinic,"[-10.295930,8.136220]",2108,Active,GOL,Rural,North Central Region,Reporting
Vahun District,Lofa,LBR-21-2108-01,Vahun Health Center,Public,Health Center,"[-10.499680,8.062350]",2108,Active,GOL,Rural,North Central Region,Reporting
Vahun District,Lofa,LBR-21-2108-04,Lukasu Clinic,Public,Clinic,"[-10.241900,8.047350]",2108,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-09,Kpotomai Clinic,Public,Clinic,"[-9.942570,8.223590]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-10,Lawalzu Clinic,Public,Clinic,"[-9.844770,8.451380]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-01,Tellewoyan Memorial Hospital,Public,Hospital,"[-9.747220,8.426160]",2110,Active,GOL,Urband,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-11,Sarkonnedu Clinic,Public,Clinic,"[-9.673240,8.461670]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-02,Balakpalasu Clinic,Public,Clinic,"[-9.692510,8.168580]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-12,Torbogizizu Clinic,Public,Clinic,"[-9.921860,8.473300]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-03,Barkedu Clinic,Public,Clinic,"[-9.638200,8.293390]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-13,Vezala Clinic,Public,Clinic,"[-9.902490,8.370360]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-04,Bazagizia Clinic,Public,Clinic,"[-9.836790,8.358250]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-07,Kpademai Clinic,Public,Clinic,"[-9.908460,8.212220]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-14,Voinjama Free Pentecostal Clinic,Faith Based,Clinic,"[-9.755686,8.418389]",2110,Active,Donor,Urband,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-05,Bondi Clinic,Public,Clinic,"[-9.760020,8.269560]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-06,Duogomai Clinic,Public,Clinic,"[-9.726940,8.195890]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-15,Zenalormai Clinic,Public,Clinic,"[-9.836720,8.329580]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-08,Kpakamai Clinic,Public,Clinic,"[-9.876640,8.296860]",2110,Active,GOL,Rural,North Central Region,Reporting
Voinjama District,Lofa,LBR-21-2110-16,Healing Hands clinic,Private,Clinic,"[-9.565056,8.421253]",2110,Active,Private,Urband,North Central Region,Reporting
Webbo District,RiverGee,LBR-42-4203-03,Nyenebo Clinic,Public,Clinic,"[-7.817270,4.903970]",4203,Active,GOL,Rural,Southeastern B Region,Reporting
Webbo District,RiverGee,LBR-42-4203-02,Nyaaken Clinic,Public,Clinic,"[-7.597120,4.851130]",4203,Active,GOL,Rural,Southeastern B Region,Reporting
Webbo District,RiverGee,LBR-42-4203-04,Tuobo Clinic,Public,Clinic,"[-7.659750,5.023310]",4203,Active,GOL,Rural,Southeastern B Region,Reporting
Webbo District,RiverGee,LBR-42-4203-01,Jimmyville Clinic,Public,Clinic,"[-7.621610,4.880470]",4203,Active,GOL,Rural,Southeastern B Region,Reporting
Yarnee District,RiverCess,LBR-36-3607-01,ITI Clinic,Public,Clinic,"[-9.323190,5.615840]",3607,Active,GOL,Rural,South Central Region,Reporting
Yarnee District,RiverCess,LBR-36-3607-03,Po-River Medical Clinic,Faith Based,Clinic,"[-9.511535,5.392169]",3607,Active,Donor,Rural,South Central Region,Reporting
Yarnee District,RiverCess,LBR-36-3607-02,Klaygbae Clinic,Public,Clinic,"[-9.581170,5.470626]",3607,Active,GOL,Rural,South Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-02,Boyee Clinic,Public,Clinic,"[-9.118033,6.450567]",3326,Active,GOL,Rural,North Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-01,Zekepa Health Center,Public,Health Center,"[-9.116830,6.646030]",3326,Active,GOL,Rural,North Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-03,Kwendin Clinic,Public,Clinic,"[-8.948900,6.454530]",3326,Active,GOL,Rural,North Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-04,Menhla Clinic,Public,Clinic,"[-8.978040,6.815740]",3326,Active,GOL,Rural,North Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-06,Zahnzayee Community Clinic,Private,Clinic,"[-9.091944,6.508056]",3326,Active,Private,Rural,North Central Region,Reporting
Yarwein Mehnsohnneh District,Nimba,LBR-33-3326-05,Yarwinmehnsonnoh Fundamental Baptist Church Clinic,Faith Based,Clinic,"[-9.092500,6.509167]",3326,Active,Donor,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-01,Bahn Health Center,Public,Health Center,"[-8.730190,7.029490]",3324,Active,GOL,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-02,Beadatuo Clinic,Public,Clinic,"[-8.597840,6.990400]",3324,Active,GOL,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-03,Gblonlay Clinic,Public,Clinic,"[-8.734900,7.112820]",3324,Active,GOL,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-05,ULIC Bahn Mission Clinic,Faith Based,Clinic,"[-8.724270,7.020920]",3324,Active,Donor,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-06,Weato Memorial Clinic,Private,Clinic,"[-8.598118,7.124740]",3324,Active,Private,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-04,Payee Community Clinic,Public,Clinic,"[-8.734900,7.112820]",3324,Active,GOL,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-07,Wehplay Clinic,Public,Clinic,"[-8.628180,7.077780]",3324,Active,GOL,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-08,Mother Youhn Zayguah Gbor Midwifery clinic,Private,Clinic,"[-8.782510,7.016840]",3324,Active,Private,Rural,North Central Region,Reporting
Zoe-Geh District,Nimba,LBR-33-3324-09,Turpoe Monseh Soko Memorial clinic,Private,Clinic,"[-8.782510,7.016840]",3324,Active,Private,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-02,Konia Health Center,Public,Health Center,"[-9.549160,7.962580]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-06,Fissibu Clinic,Public,Clinic,"[-9.468250,7.823580]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-03,Balagwalazu Clinic,Public,Clinic,"[-9.716390,7.796670]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-04,Barziwen Clinic,Public,Clinic,"[-9.647840,8.153310]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-05,Borkeza Clinic,Public,Clinic,"[-9.458740,7.907400]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-07,Luyeama Clinic,Public,Clinic,"[-9.634990,8.069240]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-01,Curran Lutheran Hospital,Faith Based,Hospital,"[-9.432620,7.775040]",2112,Active,Donor,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-08,Yeala Clinic,Public,Clinic,"[-9.400740,7.822800]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-09,Zolowo Clinic,Public,Clinic,"[-9.538630,7.652790]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-10,ZRTTI Clinic,Public,Clinic,"[-9.466267,7.814139]",2112,Active,GOL,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-12,Zorzor Medical &  Laboratory clinic (Monrovia. highway),Private,Clinic,"[-9.257071,7.590433]",2112,Active,Private,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-11,Hope clinic (Yeala road) p,Private,Clinic,"[-9.255470,7.603650]",2112,Active,Private,Urband,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-13,Zorzor Medical & Laboratory clinic -Annex (Boi town),Private,Clinic,"[-9.257071,7.579530]",2112,Active,Private,Rural,North Central Region,Reporting
Zorzor District,Lofa,LBR-21-2112-14,Nekeborzu clinic,Public,Clinic,"[-9.370602,9.048333]",2112,Active,GOL,Rural,North Central Region,Reporting
Zota,Bong,LBR-06-0616-03,Gbansuslomah Clinic,Public,Clinic,"[-9.615790,7.234620]",0616,Active,GOL,Rural,North Central Region,Reporting
